TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos confirmados por Município de notificação e Ano Diagnóstico
Período:2001-2024
"Município de notificação";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"260430 CEDRO";2;4;3;-;-;2;1;5;3;3;1;1;-;2;1;-;1;-;1;2;1;1;1;2;37
"260440 CHA DE ALEGRIA";1;5;6;5;7;5;7;9;4;6;5;5;2;7;4;6;4;5;4;6;5;3;4;7;122
"260450 CHA GRANDE";1;3;6;2;1;2;4;1;1;4;2;7;2;13;15;6;7;6;7;7;5;8;7;3;120
"260460 CONDADO";-;5;12;15;11;7;7;9;12;9;10;7;6;4;9;9;9;6;7;10;9;10;5;9;197
"260470 CORRENTES";3;3;4;2;1;-;2;1;1;4;3;3;-;4;1;-;3;1;2;-;2;2;1;-;43
"260480 CORTES";3;6;7;6;1;3;4;2;2;1;1;2;1;10;9;1;12;4;5;1;5;5;2;3;96
"260490 CUMARU";-;-;1;-;1;1;2;3;-;-;3;-;1;1;1;-;2;1;2;3;4;5;4;7;42
"260500 CUPIRA";-;5;1;10;8;3;5;1;6;6;3;3;5;4;6;3;4;7;6;2;7;7;11;6;119
"260510 CUSTODIA";5;6;7;8;10;16;5;5;2;9;4;9;7;11;3;4;5;15;13;3;2;3;8;11;171
"260515 DORMENTES";-;-;-;-;3;-;3;3;2;4;3;2;3;2;2;1;1;-;1;1;1;1;1;4;38
"260520 ESCADA";25;34;26;20;23;14;20;31;14;17;25;21;19;28;27;22;36;17;23;22;22;26;25;33;570
"260530 EXU";7;5;10;3;5;4;2;4;4;8;8;7;6;3;6;-;2;3;3;3;5;1;4;11;114
"260540 FEIRA NOVA";-;4;2;6;7;-;12;15;13;1;5;4;2;3;4;3;7;8;5;5;8;8;13;7;142
"260545 FERNANDO DE NORONHA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;-;-;-;2;2;8
"260550 FERREIROS";-;-;-;-;6;6;6;5;3;2;3;4;3;1;4;3;6;3;4;3;7;6;4;5;84
"260560 FLORES";1;7;2;1;10;3;8;4;4;3;6;2;1;3;2;-;1;-;3;-;4;1;3;2;71
"260570 FLORESTA";4;5;2;8;4;5;12;6;9;5;10;11;4;11;7;5;2;4;6;3;6;6;9;9;153
"260580 FREI MIGUELINHO";5;3;11;3;10;5;1;4;-;2;1;3;-;3;2;1;5;2;2;2;-;3;4;1;73
"260590 GAMELEIRA";8;5;8;6;4;5;6;8;6;12;3;6;4;6;7;3;11;4;8;11;2;11;4;2;150
"260600 GARANHUNS";51;50;55;34;32;45;17;35;41;29;43;39;32;50;58;63;48;74;72;40;51;51;60;89;1159
"260610 GLORIA DO GOITA";-;-;1;6;1;4;7;2;4;1;4;1;3;5;2;2;8;4;1;6;12;9;5;3;91
"260620 GOIANA";21;26;15;14;26;31;30;33;42;29;27;33;26;27;34;33;56;44;42;31;33;45;42;59;799
"260630 GRANITO";3;-;2;4;1;2;2;1;-;4;1;1;-;1;1;1;1;1;2;-;-;1;1;2;32
"260640 GRAVATA";11;15;9;18;14;16;45;20;22;10;25;17;18;14;21;22;36;21;31;26;27;41;45;34;558
"260650 IATI";-;3;5;8;5;7;3;6;3;2;-;2;1;1;2;1;1;1;-;1;2;4;4;1;63
"260660 IBIMIRIM";3;2;2;3;6;2;7;-;3;1;1;3;6;5;2;5;2;5;6;6;9;6;6;6;97
"260670 IBIRAJUBA";-;1;-;4;-;2;-;-;1;1;-;1;-;2;1;-;-;-;-;-;1;-;-;-;14
"260680 IGARASSU";66;53;50;41;43;27;47;49;42;43;47;33;42;38;25;51;48;49;40;53;49;64;76;63;1139
"260690 IGUARACY";3;2;2;3;1;-;-;-;1;-;1;2;1;-;-;1;1;1;3;-;2;3;2;1;30
"260700 INAJA";1;-;2;-;1;1;2;3;2;2;-;1;1;2;-;1;2;2;2;-;1;-;4;3;33
"260710 INGAZEIRA";-;-;1;-;-;4;2;-;1;-;-;-;1;-;-;2;1;-;-;2;1;1;-;-;16
"260720 IPOJUCA";25;20;11;8;20;34;24;23;15;32;23;36;20;36;39;23;36;54;49;33;44;68;65;67;805
"260730 IPUBI";4;9;9;7;8;8;4;7;6;7;1;3;9;7;4;1;9;5;4;1;2;4;11;2;132
"260740 ITACURUBA";-;2;1;-;1;4;-;4;1;-;2;2;3;2;5;-;3;-;-;1;2;1;2;2;38
"260750 ITAIBA";-;-;-;-;1;-;1;2;3;-;1;3;1;1;3;1;2;3;2;4;4;6;3;4;45
"260760 ILHA DE ITAMARACA";17;42;41;46;57;68;50;39;46;100;157;123;126;140;149;143;165;147;165;138;149;174;164;52;2498
"260765 ITAMBE";17;8;14;10;14;10;7;6;6;9;7;10;3;3;4;7;5;5;5;8;14;15;6;12;205
"260770 ITAPETIM";-;-;2;3;2;2;1;2;-;3;1;8;6;6;1;4;4;4;1;-;3;2;3;3;61
"260775 ITAPISSUMA";-;-;18;21;24;19;27;29;27;68;64;85;59;83;161;100;141;107;132;104;110;138;225;263;2005
"260780 ITAQUITINGA";1;12;2;13;5;5;3;5;7;3;3;3;3;1;1;4;8;20;14;23;20;33;29;46;264
"260790 JABOATAO DOS GUARARAPES";241;298;270;298;287;346;305;337;328;335;367;376;297;331;411;389;315;360;373;388;363;387;442;398;8242
"260795 JAQUEIRA";2;1;6;5;2;3;2;5;1;2;4;2;5;4;4;-;2;1;3;1;1;-;3;1;60
"260800 JATAUBA";-;3;1;1;1;-;2;7;3;3;2;3;5;1;2;1;3;4;1;3;-;2;1;4;53
"260805 JATOBA";6;6;1;5;3;2;5;4;1;3;1;3;3;3;3;2;6;7;4;8;3;4;5;4;92
"260810 JOAO ALFREDO";2;4;7;5;8;7;7;4;5;7;10;3;2;4;2;2;3;7;9;7;6;3;6;2;122
"260820 JOAQUIM NABUCO";1;5;7;3;2;3;4;4;2;1;6;9;5;8;6;5;7;9;1;-;1;1;1;5;96
"260825 JUCATI";1;2;3;3;-;-;1;5;4;-;-;1;2;2;2;-;3;-;1;1;1;1;1;3;37
"260830 JUPI";-;-;3;6;-;2;3;2;1;1;1;1;2;-;-;3;2;3;3;4;4;2;1;4;48
"260840 JUREMA";-;1;1;-;-;1;2;1;1;4;-;-;-;1;1;-;1;2;2;2;2;3;2;4;31
"260845 LAGOA DO CARRO";7;6;4;6;4;3;5;3;5;7;10;1;2;5;6;6;4;5;7;8;9;13;3;5;134
"260850 LAGOA DE ITAENGA";2;5;4;6;10;10;9;10;4;3;3;3;4;6;5;6;5;4;5;4;7;8;7;10;140
"260860 LAGOA DO OURO";3;-;4;2;-;1;-;-;3;1;-;4;-;1;1;8;2;-;2;2;5;3;2;2;46
"260870 LAGOA DOS GATOS";5;2;1;4;2;4;1;3;5;1;2;3;1;3;2;3;-;1;3;3;4;10;4;2;69
"260875 LAGOA GRANDE";4;2;5;2;9;3;9;3;8;8;5;4;6;6;4;4;7;6;4;5;5;6;6;9;130
"260880 LAJEDO";1;4;6;9;5;5;6;1;4;8;7;14;11;6;8;4;13;10;13;7;12;15;14;15;198
"260890 LIMOEIRO";48;50;72;63;28;34;47;62;59;49;57;58;53;46;36;47;33;62;62;74;49;71;66;76;1302
"260900 MACAPARANA";14;16;7;5;9;6;5;6;2;3;8;6;6;3;4;4;12;2;4;3;7;6;1;6;145
"260910 MACHADOS";-;3;1;4;5;-;2;4;5;-;-;1;2;2;1;2;-;-;1;5;11;-;1;3;53
"260915 MANARI";-;-;-;-;-;-;1;-;1;4;2;-;1;1;1;4;2;-;4;1;6;1;1;2;32
"260920 MARAIAL";-;6;8;1;1;-;2;3;3;2;4;-;-;1;1;4;3;-;5;1;1;2;4;2;54
"260930 MIRANDIBA";4;13;6;10;12;2;8;3;5;6;4;-;5;4;2;2;2;4;1;1;4;1;-;2;101
"260940 MORENO";15;11;11;12;16;22;22;15;23;8;18;21;7;9;11;10;12;7;26;15;16;25;17;26;375
"260950 NAZARE DA MATA";11;13;13;19;15;15;19;15;21;10;15;8;21;12;10;20;7;9;14;11;11;14;11;13;327
"260960 OLINDA";383;272;307;336;246;247;239;223;233;272;293;302;247;251;303;217;239;245;256;236;215;256;274;237;6329
"260970 OROBO";2;1;1;4;5;3;1;5;2;9;19;4;2;1;-;-;2;4;6;2;5;10;11;1;100
"260980 OROCO";1;7;1;3;2;2;-;2;-;2;3;2;2;-;2;-;2;5;3;-;2;3;2;2;48
"260990 OURICURI";12;21;21;22;15;13;17;13;11;23;13;9;9;10;14;14;21;26;26;15;13;10;21;13;382
"261000 PALMARES";45;43;51;34;47;36;45;24;32;34;27;35;62;77;97;81;89;120;147;87;60;107;63;60;1503
"261010 PALMEIRINA";1;-;1;-;-;-;-;3;-;2;-;1;-;-;-;-;-;-;2;1;-;1;2;1;15
"261020 PANELAS";1;1;3;1;3;1;-;1;5;1;-;2;1;2;5;3;3;4;8;4;5;5;6;4;69
"261030 PARANATAMA";-;-;1;-;4;2;4;2;1;1;-;1;4;3;3;4;5;-;3;2;2;1;3;13;59
"261040 PARNAMIRIM";7;8;8;5;7;3;1;4;2;4;7;2;-;1;1;1;4;5;1;1;1;2;3;1;79
"261050 PASSIRA";1;4;2;3;8;1;3;7;6;2;5;7;9;5;8;4;3;6;10;14;7;7;8;11;141
"261060 PAUDALHO";23;13;22;15;22;14;16;22;20;18;17;17;13;21;18;12;15;29;18;24;16;31;21;39;476
"261070 PAULISTA";62;75;93;133;153;228;146;166;138;163;176;155;199;185;188;197;196;191;222;184;207;246;275;238;4216
"261080 PEDRA";-;-;1;2;5;2;6;2;2;4;4;5;5;-;4;5;4;4;2;3;3;4;4;3;74
"261090 PESQUEIRA";11;25;11;14;18;11;13;21;27;16;29;26;26;26;22;40;35;36;31;20;24;31;27;28;568
"261100 PETROLANDIA";8;6;7;8;8;6;12;9;9;8;6;8;9;7;7;11;8;11;7;10;8;10;18;13;214
"261110 PETROLINA";73;66;66;68;71;86;71;79;115;84;119;103;105;114;107;88;103;112;98;113;82;117;97;92;2229
"261120 POCAO";1;-;-;-;3;2;-;3;7;-;-;-;3;-;-;1;1;1;2;1;3;2;-;7;37
"261130 POMBOS";-;5;11;21;7;11;8;2;8;6;2;6;10;3;4;2;2;8;5;7;8;6;9;7;158
"261140 PRIMAVERA";-;-;-;2;5;8;3;3;5;4;2;5;2;1;9;4;3;-;6;6;4;2;4;2;80
"261150 QUIPAPA";3;2;3;4;1;4;3;4;2;1;3;9;5;3;5;5;1;10;1;3;1;1;2;5;81
"261153 QUIXABA";-;1;2;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;1;1;1;1;-;-;11
"261160 RECIFE";2137;2422;2617;2797;2777;2352;2304;2504;2455;2634;2595;2803;2695;2545;2526;2564;2658;2487;2560;2394;2764;3292;3443;3383;63708
"261170 RIACHO DAS ALMAS";1;2;-;1;2;4;3;2;4;3;6;4;1;2;1;1;1;6;3;-;6;2;3;4;62
"261180 RIBEIRAO";16;19;11;13;16;16;16;12;10;8;5;7;9;10;17;7;13;7;12;4;10;13;4;10;265
"261190 RIO FORMOSO";9;13;6;6;12;5;20;4;8;8;6;9;8;5;5;11;5;6;14;8;12;8;6;8;202
"261200 SAIRE";1;1;2;2;-;-;-;2;3;1;2;2;-;1;-;-;1;1;-;1;3;3;3;-;29
"261210 SALGADINHO";-;1;-;1;-;-;1;3;2;1;2;2;-;2;-;-;2;1;1;-;-;1;3;3;26
"261220 SALGUEIRO";29;36;39;34;28;28;31;29;27;38;23;29;26;17;27;32;26;38;35;28;32;33;46;36;747
"261230 SALOA";5;1;3;1;-;-;4;-;-;3;1;3;2;3;2;2;-;1;1;-;1;5;3;1;42
"261240 SANHARO";6;5;3;6;-;1;1;1;4;5;2;3;-;3;3;6;5;1;3;1;2;2;3;4;70
"261245 SANTA CRUZ";-;2;3;4;1;1;2;2;2;-;2;1;3;5;5;1;1;2;3;1;1;-;3;-;45
"261247 SANTA CRUZ DA BAIXA VERDE";2;-;2;1;1;2;2;-;2;-;-;-;1;1;5;-;1;2;3;1;3;3;1;2;35
"261250 SANTA CRUZ DO CAPIBARIBE";13;13;21;14;8;7;12;20;24;19;14;21;44;45;26;25;25;34;26;33;38;53;59;71;665
"261255 SANTA FILOMENA";3;1;3;-;1;1;1;-;-;-;-;-;1;1;-;1;1;1;-;1;3;7;1;3;30
"261260 SANTA MARIA DA BOA VISTA";9;15;5;11;5;6;5;10;16;6;11;6;4;7;4;7;3;2;4;5;6;6;8;2;163
"261270 SANTA MARIA DO CAMBUCA";-;-;-;2;1;1;2;-;1;2;-;1;-;1;-;2;2;-;-;-;3;5;3;-;26
"261280 SANTA TEREZINHA";-;1;3;2;3;2;1;1;-;-;2;1;-;-;2;-;-;1;-;-;-;-;2;3;24
"261290 SAO BENEDITO DO SUL";-;1;1;1;1;3;1;4;2;2;1;1;1;2;2;2;2;3;1;1;1;2;-;-;35
"261300 SAO BENTO DO UNA";6;16;13;10;11;4;6;8;8;6;9;6;7;19;13;12;7;14;11;11;6;8;14;10;235
"261310 SAO CAITANO";9;6;1;3;2;1;7;9;3;-;2;2;2;6;11;4;7;13;10;3;18;10;12;9;150
"261320 SAO JOAO";17;6;5;4;2;2;4;5;4;3;1;5;11;5;3;6;3;7;2;2;3;4;5;3;112
"261330 SAO JOAQUIM DO MONTE";1;1;5;7;3;-;1;3;4;2;2;-;4;2;-;5;4;3;2;3;4;3;8;3;70
"261340 SAO JOSE DA COROA GRANDE";12;5;9;10;8;4;5;6;5;8;5;10;12;13;7;10;11;14;10;10;4;5;9;8;200
"261350 SAO JOSE DO BELMONTE";8;17;13;10;8;8;4;3;2;5;4;2;8;3;3;1;3;14;3;7;3;7;4;10;150
"261360 SAO JOSE DO EGITO";2;4;8;4;9;7;13;6;6;7;1;6;4;6;4;7;8;3;12;3;3;4;3;9;139
"261370 SAO LOURENCO DA MATA";5;35;56;53;59;38;62;61;79;58;53;69;59;36;47;44;57;102;71;62;56;74;94;94;1424
"261380 SAO VICENTE FERRER";5;2;8;10;8;2;7;1;3;2;4;5;1;4;8;11;7;2;7;5;4;7;4;6;123
"261390 SERRA TALHADA";34;24;9;21;30;12;28;14;30;13;21;29;28;31;20;14;30;21;30;26;25;33;37;39;599
"261400 SERRITA";-;2;5;2;1;2;5;3;5;2;3;1;2;2;5;3;11;3;3;2;4;10;6;3;85
"261410 SERTANIA";14;10;9;6;21;5;5;7;1;1;5;1;1;-;3;3;7;4;8;-;3;7;5;6;132
"261420 SIRINHAEM";19;19;11;11;10;11;4;7;7;9;7;2;17;12;13;14;20;15;10;23;17;13;12;10;293
"261430 MOREILANDIA";2;-;-;-;-;-;2;-;4;1;1;1;1;2;1;3;4;-;1;1;-;2;1;2;29
"261440 SOLIDAO";-;-;1;-;1;-;-;-;-;-;1;1;1;-;2;-;-;-;-;-;-;1;-;1;9
"261450 SURUBIM";8;10;10;10;11;8;13;9;8;6;8;13;12;8;10;6;11;8;11;9;11;13;7;22;242
"261460 TABIRA";5;3;1;1;4;4;3;4;6;9;8;4;5;2;2;4;4;3;2;8;8;3;5;6;104
"261470 TACAIMBO";-;-;-;1;1;3;2;6;3;-;-;-;-;-;2;4;7;13;15;8;19;12;16;22;134
"261480 TACARATU";6;8;2;7;3;3;5;1;3;2;2;5;3;2;7;7;7;2;10;4;20;11;8;4;132
"261485 TAMANDARE";5;4;6;4;3;13;8;8;9;14;10;12;12;7;12;7;11;21;11;11;13;13;20;30;264
"261500 TAQUARITINGA DO NORTE";7;6;4;5;2;2;6;1;5;5;3;-;2;4;4;7;8;5;4;10;10;7;7;7;121
"261510 TEREZINHA";-;-;1;-;-;-;-;-;3;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;7
"261520 TERRA NOVA";1;4;1;-;2;1;2;4;3;1;-;1;3;-;2;2;2;3;4;1;4;1;1;1;44
"261530 TIMBAUBA";38;9;31;35;34;30;28;25;34;25;34;36;27;19;19;24;22;16;28;13;19;16;20;24;606
"261540 TORITAMA";-;1;2;1;2;-;10;5;8;3;4;6;8;4;3;9;18;9;8;19;12;8;9;9;158
"261550 TRACUNHAEM";1;-;1;2;2;7;8;5;3;3;3;2;3;3;6;3;1;7;5;4;2;15;3;6;95
"261560 TRINDADE";12;9;7;10;11;12;8;7;10;4;8;10;7;2;6;5;9;4;14;5;16;14;9;9;208
"261570 TRIUNFO";3;7;3;8;10;2;1;1;-;1;2;3;2;2;2;5;2;1;1;1;1;1;2;5;66
"261580 TUPANATINGA";2;2;6;2;5;5;2;2;-;2;5;3;2;3;5;7;1;2;3;1;1;1;2;4;68
"261590 TUPARETAMA";6;3;-;1;-;1;1;4;3;1;-;-;2;2;3;-;1;1;5;1;2;3;3;1;44
"261600 VENTUROSA";-;-;-;-;2;4;4;2;1;5;3;1;-;5;3;-;2;2;1;1;1;2;2;6;47
"261610 VERDEJANTE";6;13;12;9;12;3;8;2;1;2;2;1;-;-;-;-;1;-;2;2;1;-;-;2;79
"261618 VERTENTE DO LERIO";-;-;-;-;-;2;3;-;3;-;2;1;1;-;3;-;-;-;-;-;-;1;-;-;16
"261620 VERTENTES";1;3;-;2;-;4;3;2;5;5;4;3;2;8;5;9;6;5;3;8;9;5;3;6;101
"261630 VICENCIA";14;13;8;4;11;9;14;15;13;9;9;5;12;11;12;7;4;5;10;11;8;10;8;4;226
"261640 VITORIA DE SANTO ANTAO";85;86;76;71;72;52;54;60;74;68;53;61;60;52;40;68;77;78;79;67;73;53;70;47;1576
"261650 XEXEU";8;3;3;2;6;6;2;6;3;4;4;2;1;9;2;3;6;4;5;4;6;10;10;5;114
"Total";4534;4857;5144;5440;5311;4885;4827;4987;5018;5170;5373;5678;5409;5428;5637;5500;5963;5935;6117;5528;6051;7063;7415;7405;134675
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net 
 Notas:
 
 Excluídos os registros encerrados com mudança de diagnóstico.
 Períodos disponíveis - Correspondem aos anos de diagnóstico dos casos (até 2024).
 Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse,
		e todos os posteriores até o ano atual (para incluir casos notificados com atraso) e em "Seleções Disponíveis"
		assinale os anos do diagnóstico: - Ex. para tabular o nº de casos diagnosticados em 2007 segundo UF de residência
		selecione: na linha a "UF de residência" na Coluna a variável "Ano do diagnóstico" em Períodos disponíveis 2007
		até o ano atual em Seleções o "Ano do diagnóstico" de 2007.
 Para cálculo da incidência selecione o local de residência e as seguintes categorias da variável "Tipo de entrada":
		caso novo, não sabe e pós óbito.
 A variável "Beneficiário de programa de transferência de renda do governo" não contém dados do Estado de São Paulo (SP).
		Quanto a variável "Terapia antirretroviral durante o tratamento da TB", os dados do estado de SP foram inseridos
		a partir do segundo semestre de 2016.
 Não é possível calcular indicadores relacionados aos contatos de tuberculose.
 Em 2014, foram incluídas as seguintes variáveis no Sinan Net (Tuberculose): populações especiais (população privada de
		liberdade, população em situação de rua, profissional de saúde e imigrante), doenças e agravos associados (uso de drogas
		ilícitas e tabagismo), beneficiário de programa de transferência de renda do governo, terapia antirretroviral durante o
		tratamento para a TB, teste molecular rápido TB (TRM-TB) e teste de sensibilidade; as categorias: pós-óbito na variável
		tipo de entrada; e as categorias: mudança de esquema, falência e abandono primário na variável situação de encerramento.
		Por conta disso, não há informações para essas variáveis em anos anteriores.
 A variável "institucionalizado" foi descontinuada em 2015. Portanto, para análise referente à população privada de
		liberdade após esse período, utilizar a variável "PPL" (população privada de liberdade).
 Para informações detalhadas sobre o Sinan – Tuberculose e sobre as análises de indicadores epidemiológicos e operacionais
		da tuberculose, acessar o link: http://portalsinan.saude.gov.br/tuberculose
 Em caso de dúvidas, encaminhar e-mail para: tuberculose@saude.gov.br
 Dados de 2001 a 2019 estão finalizados.
 Dados de 2019 passaram por correção em setembro/2025.
 Dados de 2020 a 2024 atualizados em setembro/2025, sujeitos à revisão.
 Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo
		estado desde janeiro de 2020.
 Dados referentes ao estado de São Paulo são oriundos do Sistema de Controle de Pacientes com Tuberculose TBWEB.
 Dados disponibilizados no TABNET em 10/2025, após homologação da Coordenação Geral de Vigilância da Tuberculose, Micoses
		Endêmicas e Micobactérias não Tuberculosas /CGTM/SVSA
 
